Product,Price,KMs,Fuel,Owners,Year,Location,Brand
Honda City ZX CVT Petrol,1250000,26000,Petrol,1,2018,Hyderabad,Honda
Audi A6 2.0 TDI,2100000,58000,Diesel,1,2012,Hyderabad,Audi
Toyota Innova Crysta 2.8 GX...,1950000,30746,Diesel,1,2019,Hyderabad,Toyota
Maruti Suzuki Swift Dzire ZDI,430000,76863,Diesel,1,2011,Hyderabad,Maruti
Hyundai Xcent 2nd Gen 1.1 U...,520000,25843,Diesel,1,2014,Hyderabad,Hyundai
Land Rover Range Rover Spor...,3500000,79000,Diesel,1,2010,Hyderabad,Land
Land Rover Range Rover 5.0 ...,3000000,134000,Petrol,1,2010,Hyderabad,Land
Mahindra TUV300 T10,1050000,20060,Diesel,1,2018,Hyderabad,Mahindra
Mercedes Benz GL 350 CDI Lu...,3700000,67000,Diesel,1,2013,Hyderabad,Mercedes
Maruti Suzuki Wagon R 1.0 VXI+,490000,32977,Petrol,1,2018,Hyderabad,Maruti
Hyundai Grand i10 1.2 Kappa...,575000,32000,Petrol,1,2016,Hyderabad,Hyundai
Mercedes Benz E Class E 220 d,3200000,21000,Diesel,1,2017,Hyderabad,Mercedes
Hyundai Eon Era +,290000,40000,Petrol,1,2016,Hyderabad,Hyundai
Ford EcoSport 1.5 TDCi Tita...,650000,80000,Diesel,1,2014,Hyderabad,Ford
Volkswagen Polo Comfortline...,370000,78000,Diesel,1,2011,Hyderabad,Volkswagen
Maruti Suzuki Ritz MC VDI,350000,72000,Diesel,1,2009,Hyderabad,Maruti
Maruti Suzuki Swift VDi,570000,99000,Diesel,1,2014,Hyderabad,Maruti
Maruti Suzuki Alto LXI,170000,60000,Petrol,1,2006,Hyderabad,Maruti
Volkswagen Vento 1.6L MT Co...,550000,52359,Diesel,1,2013,Hyderabad,Volkswagen
Nissan X Trail SLX AT,775000,121812,Diesel,1,2010,Hyderabad,Nissan
Volkswagen Cross Polo 1.2 TDI,530000,63649,Diesel,1,2014,Hyderabad,Volkswagen
Chevrolet Enjoy 1.3 TCDi LTZ-7,450000,88576,Diesel,1,2013,Hyderabad,Chevrolet
Ford Figo Duratorq Diesel E...,310000,67160,Diesel,1,2011,Hyderabad,Ford
Skoda Fabia 2008 Ambiente 1...,310000,48285,Diesel,1,2008,Hyderabad,Skoda
Chevrolet Beat 1.0 LS TCDi ...,275000,52381,Diesel,1,2013,Hyderabad,Chevrolet
Skoda Rapid Ambition 1.5 TD...,510000,73264,Diesel,1,2012,Hyderabad,Skoda
Tata Aria Pure LX 4X2,800000,148402,Diesel,1,2014,Hyderabad,Tata
Maruti Suzuki Dzire VDI,725000,50000,Diesel,1,2017,Hyderabad,Maruti
Maruti Suzuki Alto 800 LXI,279000,67500,Petrol,1,2015,Hyderabad,Maruti
Renault Duster RxE Diesel 85PS,550000,49000,Diesel,1,2013,Hyderabad,Renault
Hyundai Verna Fluidic 1.6 C...,785000,47000,Diesel,1,2016,Hyderabad,Hyundai
Renault Duster RxE Diesel 85PS,510000,83000,Diesel,1,2014,Hyderabad,Renault
Ford Figo Aspire 1.5 TDCi T...,610000,59000,Diesel,1,2017,Hyderabad,Ford
Honda Mobilio V i DTEC,580000,78000,Diesel,1,2014,Hyderabad,Honda
Toyota Innova 2.5 V 7 STR,645000,230000,Diesel,1,2008,Hyderabad,Toyota
Mercedes Benz S Class 350 C...,2500000,85000,Diesel,1,2011,Hyderabad,Mercedes
Toyota Innova 2.5 EV PS 7 STR,600000,148364,Diesel,1,2006,Hyderabad,Toyota
Audi Q5 3.0 TDI quattro V6 ...,1700000,42000,Diesel,1,2009,Hyderabad,Audi
Hyundai i10 Magna 1.2,330000,47000,Petrol,1,2010,Hyderabad,Hyundai
Honda Amaze VX MT Petrol,650000,33000,Petrol,1,2016,Hyderabad,Honda
Toyota Innova Crysta 2.4 ZX...,1950000,62462,Diesel,1,2017,Hyderabad,Toyota
Hyundai Santro Xing XO eRLX...,195000,67890,Petrol,1,2006,Hyderabad,Hyundai
Hyundai Elite i20 1.2 Kappa...,750000,15818,Petrol,1,2018,Hyderabad,Hyundai
Maruti Suzuki Swift Old VDi,275000,72354,Diesel,1,2007,Hyderabad,Maruti
Maruti Suzuki Alto 800 LXI,310000,83374,Petrol,1,2015,Hyderabad,Maruti
Maruti Suzuki Swift VDi,390000,114545,Diesel,1,2011,Hyderabad,Maruti
Hyundai i10 Sportz 1.1 LPG,445000,50369,LPG,1,2015,Hyderabad,Hyundai
Maruti Suzuki Swift VDi,450000,98631,Diesel,1,2012,Hyderabad,Maruti
Maruti Suzuki Alto 800 LXI,290000,59199,Petrol,1,2014,Hyderabad,Maruti
Hyundai i20 Sportz 1.4 CRDI...,495000,73664,Diesel,2,2014,Hyderabad,Hyundai
Maruti Suzuki Alto 800 LXI,280000,60281,Petrol,1,2013,Hyderabad,Maruti
Morris Garage Hector Sharp ...,1850000,6000,Petrol,1,2019,Hyderabad,Morris
Hyundai Creta 1.6 E Petrol,850009,45000,Petrol,2,2017,Hyderabad,Hyundai
Land Rover Range Rover Spor...,8400000,30922,Diesel,1,2016,Hyderabad,Land
Maruti Suzuki Swift VDi,550000,100000,Diesel,1,2014,Hyderabad,Maruti
Audi Q5 2.0 TDI Technology ...,2800000,77000,Diesel,1,2016,Hyderabad,Audi
Toyota Land Cruiser Prado VX L,3800000,162000,Diesel,1,2013,Hyderabad,Toyota
Ford Figo Aspire 1.5 TDCi T...,685000,54000,Diesel,1,2017,Hyderabad,Ford
Maruti Suzuki Swift ZXi,650000,55000,Petrol,1,2017,Hyderabad,Maruti
BMW X3 xdrive-20d xLine,6200000,3000,Diesel,1,2019,Hyderabad,BMW
Hyundai Creta SX Plus 1.6 A...,1325000,62000,Diesel,1,2017,Hyderabad,Hyundai
Mercedes Benz C Class C 250...,1350000,58000,Diesel,1,2011,Hyderabad,Mercedes
BMW X1 sDrive20d M Sport,3200000,30000,Diesel,1,2018,Hyderabad,BMW
Skoda Superb 2.0 TDI CR AT ...,575000,154667,Diesel,1,2010,Hyderabad,Skoda
Maruti Suzuki Swift LXi,575000,86786,Petrol,1,2017,Hyderabad,Maruti
Chevrolet Cruze 2.0 LT MT BS4,595000,70000,Diesel,1,2014,Hyderabad,Chevrolet
Ford Figo Duratorq Diesel T...,260000,68184,Diesel,1,2010,Hyderabad,Ford
Hyundai Elite i20 1.4 U2 CR...,649000,80257,Diesel,1,2015,Hyderabad,Hyundai
Hyundai Elite i20 1.2 Kappa...,670000,38372,Petrol,1,2017,Hyderabad,Hyundai
Hyundai Elite i20 1.2 Kappa...,675000,38372,Petrol,1,2017,Hyderabad,Hyundai
Maruti Suzuki Alto LXI BS IV,245000,68289,CNG,1,2012,Hyderabad,Maruti
Toyota Fortuner 3.0 MT,1150000,170000,Diesel,1,2011,Hyderabad,Toyota
Hyundai Elite i20 Asta 1.4 ...,725000,63000,Diesel,1,2016,Hyderabad,Hyundai
Hyundai Getz GLS,170000,53000,Petrol,1,2007,Hyderabad,Hyundai
Hyundai i10 Sportz 1.2 AT K...,370000,68000,Petrol,1,2012,Hyderabad,Hyundai
Honda City V 1.5L i-DTEC,750000,90000,Diesel,1,2015,Hyderabad,Honda
Skoda Laura Elegance 1.9 TD...,425000,166000,Diesel,1,2010,Hyderabad,Skoda
Hyundai Verna Fluidic 1.6 C...,750000,103000,Diesel,1,2014,Hyderabad,Hyundai
Maruti Suzuki Swift Dzire VDi,390000,92000,Diesel,1,2009,Hyderabad,Maruti
Fiat Punto Abarth 1.4L T-Je...,650000,47000,Petrol,1,2016,Hyderabad,Fiat
Ford Endeavour Titanium 2.2...,2325000,44000,Diesel,1,2016,Hyderabad,Ford
Ford Figo Duratorq Diesel L...,425000,68000,Diesel,1,2014,Hyderabad,Ford
Hyundai i10 Magna,245000,97515,Petrol,1,2007,Hyderabad,Hyundai
Audi Q7 3.0 TDI quattro Tec...,2850000,85000,Diesel,1,2014,Hyderabad,Audi
Audi A4 35 TDI Technology Pack,1950000,84000,Diesel,1,2015,Hyderabad,Audi
Maruti Suzuki Baleno Zeta A...,800000,29278,Petrol,1,2017,Hyderabad,Maruti
Volkswagen Polo GT TSI,875000,19589,Petrol,1,2018,Hyderabad,Volkswagen
Ford Figo Titanium 1.5 Ti-V...,595000,20000,Petrol,1,2016,Hyderabad,Ford
Skoda Octavia Style Plus 2....,1375000,89118,Diesel,1,2015,Hyderabad,Skoda
Hyundai Creta SX+ 1.6 U2 VG...,1325000,55670,Diesel,1,2016,Hyderabad,Hyundai
BMW X1 sDrive20d,1350000,70731,Diesel,1,2012,Hyderabad,BMW
Maruti Suzuki Alto 800 VXI,290000,36400,Petrol,1,2015,Hyderabad,Maruti
Hyundai Santro Xing GLS,299000,34199,Petrol,1,2011,Hyderabad,Hyundai
Honda Amaze SX MT Diesel,590000,72127,Diesel,1,2015,Hyderabad,Honda
Mercedes Benz C Class C 220...,2350000,85000,Diesel,1,2014,Hyderabad,Mercedes
Mahindra XUV500 W8 AWD,800005,102637,Diesel,1,2013,Hyderabad,Mahindra
BMW X3 2011 xDrive20d,1650000,129000,Diesel,1,2012,Hyderabad,BMW
Ford EcoSport 1.0 Eco Boost...,625000,83212,Petrol,1,2014,Hyderabad,Ford
Maruti Suzuki Baleno Sigma ...,650000,5000,Petrol,1,2019,Hyderabad,Maruti
Hyundai Creta SX+ 1.6 U2 VG...,1160000,45000,Diesel,1,2016,Hyderabad,Hyundai
Maruti Suzuki New Swift DZi...,625000,70000,Diesel,1,2014,Hyderabad,Maruti
Mercedes Benz M Class ML 35...,3395000,80000,Diesel,1,2015,Hyderabad,Mercedes
Maruti Suzuki Swift Old VDi,345000,111000,Diesel,1,2009,Hyderabad,Maruti
Hyundai i10 Magna,280000,85000,Petrol,1,2008,Hyderabad,Hyundai
Hyundai i20 Magna 1.4 CRDI,450000,83000,Diesel,1,2012,Hyderabad,Hyundai
Maruti Suzuki Wagon R Duo L...,270000,80000,LPG,1,2009,Hyderabad,Maruti
Toyota Innova Crysta 2.4 ZX...,2100000,33000,Diesel,1,2018,Hyderabad,Toyota
Volkswagen Vento 1.5 TDI Hi...,685000,104064,Diesel,1,2015,Hyderabad,Volkswagen
Honda Amaze S AT Petrol,650000,62764,Petrol,1,2016,Hyderabad,Honda
Jaguar XF Portfolio Diesel,4400000,36000,Diesel,1,2017,Hyderabad,Jaguar
BMW X3 xDrive 20d Expedition,2675000,65000,Diesel,1,2014,Hyderabad,BMW
Ford EcoSport 1.5 TDCi Tita...,1045000,48000,Diesel,1,2018,Hyderabad,Ford
Mercedes Benz E Class E250 ...,1100000,78000,Diesel,1,2010,Hyderabad,Mercedes
Toyota Innova Crysta 2.4 GX...,1850000,52996,Diesel,1,2018,Hyderabad,Toyota
Toyota Yaris VX CVT,1200000,24000,Petrol,1,2018,Hyderabad,Toyota
Toyota Corolla Altis 1.8G,1150000,65000,Petrol,1,2014,Hyderabad,Toyota
Toyota Corolla Altis 1.8G,385000,76435,Petrol,1,2009,Hyderabad,Toyota
Isuzu MU-X 4x2,900000,22377,Diesel,1,2019,Hyderabad,Isuzu
Mercedes Benz C Class 220 C...,975000,87000,Diesel,1,2011,Hyderabad,Mercedes
Jeep Compass Limited (O) 2....,2245000,11000,Diesel,1,2019,Hyderabad,Jeep
Honda Civic 1.8V AT,385000,90117,Petrol,2,2010,Hyderabad,Honda
Mahindra Bolero Camper,625000,28000,Diesel,1,2018,Hyderabad,Mahindra
Maruti Suzuki Baleno Sigma ...,640000,51000,Petrol,1,2017,Hyderabad,Maruti
Hyundai i20 Asta 1.2 (O),495000,75000,Petrol,1,2013,Hyderabad,Hyundai
Maruti Suzuki Vitara Brezza...,985000,30000,Diesel,1,2017,Hyderabad,Maruti
Volkswagen Vento 1.5 TDI Hi...,720000,79000,Diesel,1,2015,Hyderabad,Volkswagen
Hyundai Verna Fluidic 1.6 V...,680000,50000,Petrol,1,2016,Hyderabad,Hyundai
Mercedes Benz GLC 220 d Pro...,3950000,44433,Diesel,1,2016,Hyderabad,Mercedes
Maruti Suzuki Wagon R Duo L...,250000,67000,LPG,1,2009,Hyderabad,Maruti
Maruti Suzuki Celerio VXi,420000,70000,Petrol,1,2015,Hyderabad,Maruti
Volkswagen Polo Highline1.5...,625000,61757,Diesel,1,2015,Hyderabad,Volkswagen
Hyundai Verna Fluidic 1.6 C...,485000,91000,Diesel,1,2011,Hyderabad,Hyundai
Volkswagen Ameo Comfortline...,645000,21235,Petrol,1,2018,Hyderabad,Volkswagen
Hyundai i20 Active 1.4 U2 C...,685000,78356,Diesel,2,2015,Hyderabad,Hyundai
Hyundai Xcent S 1.1 CRDi Sp...,520000,25463,Diesel,1,2014,Hyderabad,Hyundai
Ford EcoSport 1.5 TDCi Tita...,690000,97000,Diesel,1,2014,Hyderabad,Ford
Toyota Corolla Altis G Diesel,975000,46000,Diesel,1,2015,Hyderabad,Toyota
Maruti Suzuki Baleno Alpha ...,675000,61000,Diesel,1,2015,Hyderabad,Maruti
Honda Amaze 1.2 S i-VTEC,540000,73080,Petrol,1,2015,Hyderabad,Honda
Ford Figo Titanium 1.2 Ti-V...,550000,59000,Petrol,1,2017,Hyderabad,Ford
Hyundai Verna Fluidic 1.6 C...,560000,78999,Diesel,1,2012,Hyderabad,Hyundai
Hyundai i10 Sportz 1.2 Kappa,270000,95971,Petrol,1,2009,Hyderabad,Hyundai
Maruti Suzuki Wagon R 1.0 V...,530000,37792,Petrol,1,2016,Hyderabad,Maruti
Renault Kwid RxT,320000,41393,Petrol,1,2016,Hyderabad,Renault
Maruti Suzuki Eeco 5 STR WI...,320000,41311,CNG,1,2011,Hyderabad,Maruti
Tata Nexon XZA Plus Petrol ...,975000,7000,Petrol,1,2019,Hyderabad,Tata
Mercedes Benz C Class C 250 d,3000000,58581,Diesel,1,2017,Hyderabad,Mercedes
Mercedes Benz M Class ML 250,3300000,85000,Diesel,1,2015,Hyderabad,Mercedes
Ford Figo Titanium 1.2 Ti-VCT,700000,7500,Petrol,1,2019,Hyderabad,Ford
Maruti Suzuki Vitara Brezza...,1095000,18000,Diesel,1,2018,Hyderabad,Maruti
Toyota Innova Crysta 2.4 G ...,1895000,25000,Diesel,1,2019,Hyderabad,Toyota
Mahindra Bolero Power Plus ZLX,650000,92000,Diesel,1,2016,Hyderabad,Mahindra
Volkswagen Vento Highline D...,630000,95019,Diesel,1,2013,Hyderabad,Volkswagen
Datsun GO A,350000,49179,Petrol,1,2015,Hyderabad,Datsun
Maruti Suzuki Ertiga ZDi Pl...,1380000,7445,Diesel,1,2019,Hyderabad,Maruti
Hyundai Grand i10 Asta 1.2 ...,500000,31238,Petrol,1,2014,Hyderabad,Hyundai
Toyota Corolla Altis 1.8G,595000,121000,Diesel,1,2012,Hyderabad,Toyota
Toyota Innova Crysta 2.4 ZX...,1950000,64000,Diesel,1,2017,Hyderabad,Toyota
Maruti Suzuki Alto K10 VXi,315000,61276,Petrol,1,2015,Hyderabad,Maruti
Maruti Suzuki Ritz Vdi BS IV,299000,57398,Diesel,1,2009,Hyderabad,Maruti
Renault Duster RxL Diesel 85PS,570000,85717,Diesel,2,2014,Hyderabad,Renault
Maruti Suzuki Swift VDi,449000,68587,Diesel,2,2012,Hyderabad,Maruti
Maruti Suzuki Baleno Alpha ...,780000,82641,Diesel,1,2017,Hyderabad,Maruti
Hyundai Creta SX 1.6 CRDI VGT,990000,68259,Diesel,2,2016,Hyderabad,Hyundai
Hyundai Santro Xing GLS,249000,56710,Petrol,1,2008,Hyderabad,Hyundai
Volvo S60 Kinetic D3,1200000,79000,Diesel,1,2012,Hyderabad,Volvo
Volkswagen Vento 1.6L MT Hi...,770000,65000,Diesel,1,2015,Hyderabad,Volkswagen
Maruti Suzuki Baleno Alpha 1.3,800000,62183,Diesel,1,2018,Hyderabad,Maruti
BMW 5 Series 525d Sedan,1495000,65000,Diesel,1,2010,Hyderabad,BMW
Hyundai Creta SX Plus 1.6 A...,1325000,79326,Diesel,1,2017,Hyderabad,Hyundai
Maruti Suzuki Swift VDi,485000,83000,Diesel,1,2013,Hyderabad,Maruti
Ford EcoSport 1.5 TDCi Tita...,785000,76417,Diesel,1,2016,Hyderabad,Ford
Hyundai Elite i20 1.2 Kappa...,725000,17751,Petrol,1,2017,Hyderabad,Hyundai
Hyundai Santro Xing GLS LPG,299000,63700,LPG,1,2011,Hyderabad,Hyundai
Maruti Suzuki Baleno Alpha ...,835000,33000,Petrol,1,2018,Hyderabad,Maruti
Mahindra Scorpio VLX BS IV,550000,110000,Diesel,1,2011,Hyderabad,Mahindra
Hyundai Creta SX Plus 1.6 A...,1350000,74837,Diesel,1,2017,Hyderabad,Hyundai
Toyota Innova Crysta 2.4 VX...,1950000,47000,Diesel,1,2018,Hyderabad,Toyota
Maruti Suzuki Wagon R 1.0 M...,380000,28149,Petrol,1,2013,Hyderabad,Maruti
Maruti Suzuki Vitara Brezza...,800000,54566,Diesel,1,2016,Hyderabad,Maruti
Hyundai i10 Magna,300000,48013,Petrol,2,2010,Hyderabad,Hyundai
Hyundai i10 Magna 1.1 LPG,360000,72158,LPG,1,2012,Hyderabad,Hyundai
Maruti Suzuki Vitara Brezza...,830000,75000,Diesel,1,2016,Hyderabad,Maruti
Hyundai Xcent 2nd Gen 1.1 U...,450000,71719,Diesel,1,2016,Hyderabad,Hyundai
Maruti Suzuki Vitara Brezza...,899000,46063,Diesel,2,2018,Hyderabad,Maruti
Maruti Suzuki Swift VXI (O),599000,45680,Petrol,1,2016,Hyderabad,Maruti
Hyundai i20 Sportz 1.4 CRDI,445000,65120,Diesel,2,2013,Hyderabad,Hyundai
Maruti Suzuki Swift Old LDi,280000,87522,Diesel,2,2008,Hyderabad,Maruti
Maruti Suzuki Swift VDi ABS,599000,60331,Diesel,2,2015,Hyderabad,Maruti
Hyundai Santro Xing XG eRLX...,185000,64502,Petrol,2,2006,Hyderabad,Hyundai
Maruti Suzuki 800 DX,55000,45151,Petrol,2,,Hyderabad,Maruti
Toyota Innova Crysta Tourin...,2199999,22500,Diesel,2,2017,Hyderabad,Toyota
Skoda Octavia Style Plus 2....,1325000,89000,Diesel,1,2015,Hyderabad,Skoda
Volkswagen Ameo Highline1.2...,650000,32000,Petrol,1,2017,Hyderabad,Volkswagen
Toyota Innova Crysta 2.7 ZX...,2500000,8900,Petrol,1,2018,Hyderabad,Toyota
Maruti Suzuki Swift LDi,625000,52000,Diesel,1,2017,Hyderabad,Maruti
Honda Amaze 1.5 VX i-DTEC,550000,59877,Diesel,1,2014,Hyderabad,Honda
Renault Kwid 1.0 RXT Opt,450000,15000,Petrol,1,2018,Hyderabad,Renault
Hyundai Elite i20 1.2 Kappa...,790000,28000,Petrol,1,2019,Hyderabad,Hyundai
Maruti Suzuki Swift Old VDi,290000,91287,Diesel,2,2009,Hyderabad,Maruti
Maruti Suzuki Ignis Delta 1...,575000,22532,Petrol,1,2017,Hyderabad,Maruti
Ford EcoSport 1.5 TDCi Ambi...,549000,77995,Diesel,2,2014,Hyderabad,Ford
Maruti Suzuki Baleno Delta ...,585000,49845,Petrol,1,2016,Hyderabad,Maruti
Honda Jazz VX 1.5L i-DTEC,670000,49000,Diesel,1,2017,Hyderabad,Honda
Skoda Rapid Ambition 1.5 TD...,875000,47800,Diesel,1,2018,Hyderabad,Skoda
BMW 7 Series 740i Sedan,945000,99900,Petrol,1,2006,Hyderabad,BMW
Mercedes Benz E Class E200 ...,1425000,55000,Petrol,1,2011,Hyderabad,Mercedes
Mercedes Benz C Class 220 C...,2350000,90000,Diesel,1,2016,Hyderabad,Mercedes
Maruti Suzuki Swift VDi ABS...,330000,185000,Diesel,1,2010,Hyderabad,Maruti
Ford EcoSport 1.5 TDCi Tita...,620000,102719,Diesel,1,2014,Hyderabad,Ford
Honda Jazz S 1.2L i-VTEC CVT,625000,33066,Petrol,1,2015,Hyderabad,Honda
Maruti Suzuki Vitara Brezza...,875000,72000,Diesel,1,2016,Hyderabad,Maruti
Maruti Suzuki Wagon R LXI,295000,73000,Petrol,1,2009,Hyderabad,Maruti
Maruti Suzuki Wagon R LXI,285000,80000,Petrol,1,2009,Hyderabad,Maruti
Hyundai i10 Sportz 1.2,310000,72000,Petrol,1,2011,Hyderabad,Hyundai
Maruti Suzuki Zen Estilo VXi,185000,74000,Petrol,1,2007,Hyderabad,Maruti
Maruti Suzuki Alto 800 VXI,360000,51000,Petrol,1,2017,Hyderabad,Maruti
Maruti Suzuki Swift ZDi,570000,65123,Diesel,1,2015,Hyderabad,Maruti
Mercedes Benz S Class 500L,6500000,41000,Petrol,1,2014,Hyderabad,Mercedes
Hyundai Santro Xing GLS LPG,245000,65856,LPG,1,2008,Hyderabad,Hyundai
Maruti Suzuki Baleno Delta ...,680000,32541,Petrol,1,2016,Hyderabad,Maruti
Mercedes Benz E Class 280 C...,800000,77387,Diesel,1,2007,Hyderabad,Mercedes
Nissan Sunny XL CVT,575000,43892,Petrol,1,2015,Hyderabad,Nissan
Maruti Suzuki SX4 VXi,280000,70161,Petrol,1,2007,Hyderabad,Maruti
Ford EcoSport 1.5 TDCi Tita...,900000,53555,Diesel,1,2017,Hyderabad,Ford
Jeep Wrangler Unlimited 4x4...,5500000,2700,Petrol,1,2017,Hyderabad,Jeep
Bentley Continental Flying ...,23500000,3246,Petrol,1,2017,Hyderabad,Bentley
Mini Cooper D 5 Door,3200000,36133,Diesel,1,2018,Hyderabad,Mini
Mercedes Benz GLE Coupe 450...,7200000,13652,Petrol,1,2017,Hyderabad,Mercedes
Toyota Innova 2.5 G (Diesel...,425000,84500,Diesel,1,2007,Hyderabad,Toyota
Hyundai Creta SX 1.6 CRDi,1285000,41000,Diesel,1,2018,Hyderabad,Hyundai
Hyundai Creta E+ 1.6 Petrol,1045000,47000,Petrol,1,2018,Hyderabad,Hyundai
Mini Countryman Cooper S,1625000,60000,Petrol,1,2013,Hyderabad,Mini
Volkswagen Vento 1.2L TSI H...,1111111,10000,Petrol,1,2017,Hyderabad,Volkswagen
Hyundai Creta SX 1.6 CRDi,1375000,50000,Diesel,1,2019,Hyderabad,Hyundai
Honda CR V 2.4 AT,1345000,99001,Petrol,1,2014,Hyderabad,Honda
Renault Pulse RxL Diesel,290000,65000,Diesel,1,2013,Hyderabad,Renault
Toyota Innova Crysta 2.8 ZX...,1700000,175000,Diesel,1,2016,Hyderabad,Toyota
Honda Jazz VX CVT Petrol,940000,12452,Petrol,1,2019,Hyderabad,Honda
Maruti Suzuki Baleno Zeta A...,775000,21321,Petrol,1,2018,Hyderabad,Maruti
Toyota Fortuner 3.0 MT,1175000,195321,Diesel,2,2011,Hyderabad,Toyota
Honda Brio VX AT,560000,28321,Petrol,1,2014,Hyderabad,Honda
Audi A6 3.0 TDI quattro Pre...,1650000,88402,Diesel,1,2011,Hyderabad,Audi
Hyundai Creta SX+ 1.6 CRDI VGT,1275000,55321,Diesel,1,2016,Hyderabad,Hyundai
Toyota Fortuner 3.0 4X4 MT,1475000,134321,Diesel,1,2012,Hyderabad,Toyota
Hyundai i20 Asta 1.4 CRDI,475000,78321,Diesel,1,2012,Hyderabad,Hyundai
Toyota Fortuner 4x2 AT,1750000,108321,Diesel,1,2013,Hyderabad,Toyota
Toyota Innova Crysta 2.4 VX...,1925000,65350,Diesel,1,2018,Hyderabad,Toyota
Skoda Superb 2.0 TDI CR AT ...,720000,67321,Diesel,1,2010,Hyderabad,Skoda
Hyundai Grand i10 Magna U2 ...,465000,89317,Diesel,1,2015,Hyderabad,Hyundai
Jaguar XF 2.2 Diesel,2600000,64000,Diesel,1,2016,Hyderabad,Jaguar
Mini Cooper D 3 Door,2500000,41000,Diesel,1,2016,Hyderabad,Mini
Maruti Suzuki Alto 800 LXI,280000,50274,Petrol,1,2014,Hyderabad,Maruti
Hyundai i10 Sportz 1.2 AT K...,445000,24695,Petrol,1,2013,Hyderabad,Hyundai
Mercedes Benz S Class S600 ...,15000000,39230,Petrol,2,2017,Hyderabad,Mercedes
Ford Mustang GT Fastback 5....,6999000,2657,Petrol,1,2017,Hyderabad,Ford
Bentley Continental GT Coupe,6500000,7208,Petrol,2,2008,Hyderabad,Bentley
Honda CR V 2.0 2WD AT,1500000,49900,Petrol,1,2015,Hyderabad,Honda
Maruti Suzuki Ciaz VDi+,675000,69120,Diesel,1,2015,Hyderabad,Maruti
Toyota Fortuner 2.8 4x2 AT,2850000,155321,Diesel,1,2017,Hyderabad,Toyota
Maruti Suzuki Ciaz VXi (O),775000,38731,Petrol,1,2017,Hyderabad,Maruti
Ford EcoSport 1.5 TDCi Tren...,650000,59000,Diesel,1,2016,Hyderabad,Ford
Renault Scala RxZ Diesel,485000,105000,Diesel,1,2012,Hyderabad,Renault
Honda Amaze 1.5 E i-DTEC,420000,100000,Diesel,1,2013,Hyderabad,Honda
Volkswagen Polo Highline1.5...,630000,72000,Diesel,1,2015,Hyderabad,Volkswagen
Tata Tiago Revotron XZA,680000,6589,Petrol,1,2019,Hyderabad,Tata
Nissan Micra XV CVT Petrol,540000,55000,Petrol,1,2016,Hyderabad,Nissan
Chevrolet Tavera LS B3 7 Se...,325000,118000,Diesel,1,2007,Hyderabad,Chevrolet
Chevrolet Beat LS Petrol,330000,46378,Petrol,1,2012,Hyderabad,Chevrolet
Mahindra Bolero SLE BS4,690000,60000,Diesel,1,2016,Hyderabad,Mahindra
Skoda Laura L&K 2.0 TDI AT,570000,78000,Diesel,1,2011,Hyderabad,Skoda
Nissan Terrano XL Plus Diesel,599000,81468,Diesel,1,2015,Hyderabad,Nissan
Mahindra XUV500 W10 FWD AT,1395000,61034,Diesel,1,2016,Hyderabad,Mahindra
Jaguar XJ L 3.0 V6 Portfolio,4300000,25500,Diesel,1,2014,Hyderabad,Jaguar
Land Rover Range Rover Spor...,3500000,62386,Diesel,2,2013,Hyderabad,Land
